,target,prediction,accent,modality
0,3,5,4,1
1,2,2,4,1
2,5,5,4,1
3,4,4,4,1
4,2,2,4,1
5,3,3,4,1
6,6,6,4,1
7,0,0,4,1
8,0,0,4,1
9,5,5,4,1
10,2,2,4,1
11,4,4,4,1
12,6,6,4,1
13,5,5,4,1
14,0,0,4,1
15,5,5,4,1
16,5,5,4,1
17,5,5,4,1
18,5,5,4,1
19,5,5,4,1
20,2,2,4,1
21,2,2,4,1
22,6,6,4,1
23,4,4,4,1
24,2,2,4,1
25,2,2,4,1
26,6,6,4,1
27,4,4,4,1
28,4,4,4,1
29,2,2,4,1
30,2,5,4,1
31,4,4,4,1
32,5,3,4,1
33,5,5,4,1
34,3,3,4,1
35,5,3,4,1
36,0,0,4,1
37,5,5,4,1
38,2,2,4,1
39,6,6,4,1
40,2,2,4,1
41,5,5,4,1
42,4,4,4,1
43,0,0,4,1
44,6,6,4,1
45,3,3,4,1
46,2,2,4,1
47,3,6,4,1
48,2,2,4,1
49,2,2,4,1
50,3,3,4,1
51,0,0,4,1
52,6,6,4,1
53,5,5,4,1
54,4,4,4,1
55,2,2,4,1
56,6,6,4,1
57,3,3,4,1
58,6,6,4,1
59,6,6,4,1
60,0,0,4,1
61,3,3,4,1
62,3,3,4,1
63,3,3,4,1
64,0,0,4,1
65,4,4,4,1
66,2,2,4,1
67,2,2,4,1
68,4,4,4,1
69,6,6,4,1
70,2,2,4,1
71,0,0,4,1
72,3,3,4,1
73,5,3,4,1
74,4,4,4,1
75,3,3,4,1
76,5,5,4,1
77,2,2,4,1
78,0,0,4,1
79,6,6,4,1
80,6,6,4,1
81,3,3,4,1
82,6,6,4,1
83,4,4,4,1
84,2,2,4,1
85,5,5,4,1
86,3,3,4,1
87,2,2,4,1
88,3,5,4,1
89,5,5,4,1
90,4,4,4,1
91,5,5,4,1
92,4,4,4,1
93,3,3,4,1
94,5,5,4,1
95,4,4,4,1
96,4,4,4,1
97,5,5,4,1
98,4,4,4,1
99,2,2,4,1
100,6,6,4,1
101,5,5,4,1
102,0,0,4,1
103,0,0,4,1
104,6,6,4,1
105,0,0,4,1
106,3,6,4,1
107,2,2,4,1
108,6,6,4,1
109,0,0,4,1
110,3,3,4,1
111,4,4,4,1
112,6,6,4,1
113,2,2,4,1
114,0,0,4,1
115,3,3,4,1
116,6,6,4,1
117,0,0,4,1
118,2,2,4,1
119,2,2,4,1
120,3,5,4,1
121,0,0,4,1
122,0,0,4,1
123,4,4,4,1
124,5,5,4,1
125,2,2,4,1
126,4,4,4,1
127,6,6,4,1
128,5,5,4,1
129,5,5,4,1
130,6,6,4,1
131,4,4,4,1
132,0,0,4,1
133,4,4,4,1
134,6,6,4,1
135,4,4,4,1
136,2,2,4,1
137,4,4,4,1
138,3,3,4,1
139,6,6,4,1
140,3,3,4,1
141,6,6,4,1
142,4,4,4,1
143,2,2,4,1
144,6,6,4,1
145,3,5,4,1
146,0,0,4,1
147,5,5,4,1
148,2,2,4,1
149,5,6,4,1
150,4,4,4,1
151,5,5,4,1
152,4,4,4,1
153,6,6,4,1
154,4,4,4,1
155,5,5,4,1
156,0,0,4,1
157,0,0,4,1
158,6,6,4,1
159,3,3,4,1
160,5,5,4,1
161,4,4,4,1
162,3,3,4,1
163,3,3,4,1
164,6,6,4,1
165,0,0,4,1
166,2,2,4,1
167,0,0,4,1
168,3,3,4,1
169,5,5,4,1
170,3,3,4,1
171,5,5,4,1
172,0,0,4,1
173,3,5,4,1
174,4,4,4,1
175,6,6,4,1
176,0,0,4,1
177,4,4,4,1
178,4,4,4,1
179,2,2,4,1
180,6,6,4,1
181,2,2,4,1
182,4,4,4,1
183,4,4,4,1
184,5,3,4,1
185,2,2,4,1
186,5,5,4,1
187,3,6,4,1
188,6,6,4,1
189,0,4,4,1
190,5,3,4,1
191,6,6,4,1
192,3,3,4,1
193,5,5,4,1
194,5,5,4,1
195,2,2,4,1
196,2,2,4,1
197,4,4,4,1
198,4,4,4,1
199,4,4,4,1
200,3,3,4,1
201,0,0,4,1
202,6,6,4,1
203,5,5,4,1
204,5,5,4,1
205,0,0,4,1
206,6,6,4,1
207,5,5,4,1
208,4,4,4,1
209,2,2,4,1
210,2,2,4,1
211,2,2,4,1
212,3,0,4,1
213,6,6,4,1
214,0,0,4,1
215,0,0,4,1
216,4,4,4,1
217,5,5,4,1
218,0,0,4,1
219,5,5,4,1
220,4,4,4,1
221,0,0,4,1
222,6,6,4,1
223,6,6,4,1
224,4,4,4,1
225,5,5,4,1
226,0,0,4,1
227,3,6,4,1
228,0,3,4,1
229,6,6,4,1
230,2,2,4,1
231,6,6,4,1
232,6,6,4,1
233,5,5,4,1
234,4,6,4,1
235,4,4,4,1
236,3,3,4,1
237,6,6,4,1
238,6,6,4,1
239,4,4,4,1
240,3,3,4,1
241,4,4,4,1
242,4,4,4,1
243,5,5,4,1
244,0,0,4,1
245,4,4,4,1
246,2,2,4,1
247,2,2,4,1
248,2,2,4,1
249,5,5,4,1
250,2,2,4,1
251,2,2,4,1
252,3,3,4,1
253,6,6,4,1
254,6,6,4,1
255,2,2,4,1
256,2,2,4,1
257,3,3,4,1
258,4,4,4,1
259,0,0,4,1
260,2,2,4,1
261,5,5,4,1
262,3,3,4,1
263,4,4,4,1
264,2,2,4,1
265,3,3,4,1
266,3,3,4,1
267,4,4,4,1
268,4,4,4,1
269,4,4,4,1
270,2,2,4,1
271,4,4,4,1
272,3,3,4,1
273,5,5,4,1
274,6,6,4,1
275,4,4,4,1
276,2,2,4,1
277,2,2,4,1
278,3,3,4,1
279,2,2,4,1
280,4,4,4,1
281,6,6,4,1
282,5,5,4,1
283,2,2,4,1
284,4,4,4,1
285,0,0,4,1
286,6,6,4,1
287,4,4,4,1
288,3,0,4,1
289,2,2,4,1
290,4,4,4,1
291,2,2,4,1
292,4,4,4,1
293,5,5,4,1
294,2,2,4,1
295,3,3,4,1
296,4,4,4,1
297,0,0,4,1
298,0,3,4,1
299,4,4,4,1
300,6,6,4,1
301,0,0,4,1
302,4,4,4,1
303,3,3,4,1
304,4,4,4,1
305,2,2,4,1
306,4,4,4,1
307,4,4,4,1
308,6,4,4,1
309,4,6,4,1
310,4,6,4,1
311,4,4,4,1
312,6,6,4,1
313,0,0,4,1
314,0,0,4,1
315,4,4,4,1
316,5,5,4,1
317,6,6,4,1
318,3,3,4,1
319,2,2,4,1
320,4,4,4,1
321,4,4,4,1
322,0,4,4,1
323,6,4,4,1
324,2,2,4,1
325,6,6,4,1
326,6,6,4,1
327,4,4,4,1
328,3,3,4,1
329,6,6,4,1
330,5,6,4,1
331,6,6,4,1
332,4,4,4,1
333,0,0,4,1
334,4,4,4,1
335,2,2,4,1
336,4,4,4,1
337,5,3,4,1
338,2,2,4,1
339,3,5,4,1
340,3,6,4,1
341,5,5,4,1
342,6,6,4,1
343,2,2,4,1
344,2,2,4,1
345,0,0,4,1
346,4,4,4,1
347,4,4,4,1
348,6,6,4,1
349,4,4,4,1
350,2,2,4,1
351,6,6,4,1
352,0,0,4,1
353,2,2,4,1
354,2,2,4,1
355,6,6,4,1
356,6,6,4,1
357,6,6,4,1
358,0,0,4,1
359,3,3,4,1
360,0,0,4,1
361,2,2,4,1
362,6,6,4,1
363,3,3,4,1
364,4,4,4,1
365,4,4,4,1
366,0,0,4,1
367,4,4,4,1
368,0,0,4,1
369,3,3,4,1
370,4,4,4,1
371,5,5,4,1
372,4,2,4,1
373,3,3,4,1
374,3,3,4,1
375,6,6,4,1
376,6,6,4,1
377,3,3,4,1
378,0,0,4,1
379,4,4,4,1
380,6,6,4,1
381,4,4,4,1
382,6,6,4,1
383,6,6,4,1
384,5,5,4,1
385,4,4,4,1
386,5,5,4,1
387,5,5,4,1
388,6,6,4,1
389,4,4,4,1
390,3,3,4,1
391,5,6,4,1
392,3,0,4,1
393,2,2,4,1
394,2,2,4,1
395,3,5,4,1
396,2,2,4,1
397,4,4,4,1
398,0,0,4,1
399,0,0,4,1
400,0,0,4,1
401,3,3,4,1
402,4,4,4,1
403,5,5,4,1
404,5,5,4,1
405,3,6,4,1
406,2,2,4,1
407,2,2,4,1
408,6,6,4,1
409,0,0,4,1
410,3,3,4,1
411,2,2,4,1
412,5,5,4,1
413,2,2,4,1
414,5,5,4,1
415,5,3,4,1
416,6,6,4,1
417,0,0,4,1
418,2,2,4,1
419,6,6,4,1
420,2,2,4,1
421,6,6,4,1
422,3,3,4,1
423,2,2,4,1
424,5,5,4,1
425,4,4,4,1
426,5,5,4,1
427,4,4,4,1
428,6,6,4,1
429,2,2,4,1
430,5,5,4,1
431,5,5,4,1
432,4,4,4,1
433,5,6,4,1
434,2,2,4,1
435,5,5,4,1
436,4,4,4,1
437,2,2,4,1
438,5,5,4,1
439,3,3,4,1
440,3,3,4,1
441,3,3,4,1
442,0,0,4,1
443,5,5,4,1
444,6,6,4,1
445,3,3,4,1
446,3,3,4,1
447,3,3,4,1
448,3,3,4,1
449,0,0,4,1
450,6,6,4,1
451,3,3,4,1
452,5,5,4,1
453,3,3,4,1
454,3,3,4,1
455,2,2,4,1
456,0,0,4,1
457,2,2,4,1
458,2,2,4,1
459,2,2,4,1
460,0,0,4,1
461,4,4,4,1
462,6,6,4,1
463,2,2,4,1
464,5,5,4,1
465,3,3,4,1
466,4,4,4,1
467,3,3,4,1
468,2,2,4,1
469,0,0,4,1
470,2,2,4,1
471,2,2,4,1
472,5,5,4,1
473,3,5,4,1
474,5,3,4,1
475,5,5,4,1
476,6,6,4,1
477,0,0,4,1
478,5,5,4,1
479,0,0,4,1
480,0,3,4,1
481,3,3,4,1
482,6,6,4,1
483,2,2,4,1
484,2,2,4,1
485,0,0,4,1
486,0,3,4,1
487,5,5,4,1
488,5,5,4,1
489,4,4,4,1
490,3,3,4,1
491,0,0,4,1
492,4,4,4,1
493,4,4,4,1
494,0,0,4,1
495,6,6,4,1
496,6,6,4,1
497,5,5,4,1
498,0,0,4,1
499,2,2,4,1
500,5,5,4,1
501,6,6,4,1
502,6,6,4,1
503,3,3,4,1
504,5,5,4,1
505,4,4,4,1
506,5,2,4,1
507,0,0,4,1
508,6,6,4,1
509,4,4,4,1
510,2,2,4,1
511,6,5,4,1
512,5,5,4,1
513,5,5,4,1
514,3,3,4,1
515,4,4,4,1
516,2,2,4,1
517,3,3,4,1
518,3,3,4,1
519,5,5,4,1
520,4,4,4,1
521,6,6,4,1
522,4,4,4,1
523,6,6,4,1
524,0,0,4,1
525,5,5,4,1
526,5,5,4,1
527,2,2,4,1
528,2,2,4,1
529,0,0,4,1
530,4,4,4,1
531,0,0,4,1
532,3,3,4,1
533,3,3,4,1
534,4,4,4,1
535,5,5,4,1
536,3,3,4,1
537,3,5,4,1
538,3,3,4,1
539,5,5,4,1
540,6,6,4,1
541,5,5,4,1
542,0,0,4,1
543,4,4,4,1
544,4,4,4,1
545,6,6,4,1
546,0,0,4,1
547,2,2,4,1
548,4,4,4,1
549,5,5,4,1
550,4,4,4,1
551,0,0,4,1
552,6,6,4,1
553,2,2,4,1
554,2,2,4,1
555,5,5,4,1
556,3,5,4,1
557,5,5,4,1
558,4,4,4,1
559,6,6,4,1
560,5,5,4,1
561,4,4,4,1
562,3,3,4,1
563,6,6,4,1
564,3,3,4,1
565,4,4,4,1
566,4,4,4,1
567,2,6,4,1
568,6,6,4,1
569,3,3,4,1
570,6,6,4,1
571,0,0,4,1
572,4,4,4,1
573,0,0,4,1
574,4,4,4,1
575,4,4,4,1
576,3,3,4,1
577,2,2,4,1
578,2,2,4,1
579,4,4,4,1
580,2,2,4,1
581,3,3,4,1
582,5,5,4,1
583,4,4,4,1
584,0,0,4,1
585,6,6,4,1
586,4,4,4,1
587,4,4,4,1
588,5,5,4,1
589,6,6,4,1
590,6,6,4,1
591,6,6,4,1
592,6,4,4,1
593,6,6,4,1
594,2,2,4,1
595,6,6,4,1
596,3,3,4,1
597,4,4,4,1
598,6,6,4,1
599,6,6,4,1
600,0,0,4,1
601,6,3,4,1
602,0,0,4,1
603,5,6,4,1
604,2,2,4,1
605,6,6,4,1
606,5,5,4,1
607,0,0,4,1
608,6,6,4,1
609,6,6,4,1
610,5,5,4,1
611,0,0,4,1
612,0,0,4,1
613,2,2,4,1
614,6,6,4,1
615,3,3,4,1
616,2,2,4,1
617,2,2,4,1
618,6,6,4,1
619,3,3,4,1
620,5,5,4,1
621,4,4,4,1
622,3,3,4,1
623,3,3,4,1
624,3,3,4,1
625,3,3,4,1
626,6,6,4,1
627,3,3,4,1
628,5,5,4,1
629,0,0,4,1
630,2,2,4,1
631,2,2,4,1
632,3,3,4,1
633,5,3,4,1
634,4,4,4,1
635,0,0,4,1
636,3,3,4,1
637,3,3,4,1
638,0,0,4,1
639,2,2,4,1
640,3,6,4,1
641,2,2,4,1
642,6,6,4,1
643,6,6,4,1
644,0,0,4,1
645,6,3,4,1
646,3,3,4,1
647,2,2,4,1
648,0,0,4,1
649,6,6,4,1
650,3,3,4,1
651,5,5,4,1
652,5,5,4,1
653,6,6,4,1
654,2,2,4,1
655,4,4,4,1
656,2,2,4,1
657,6,6,4,1
658,6,6,4,1
659,4,4,4,1
660,3,3,4,1
661,6,6,4,1
662,6,6,4,1
663,3,6,4,1
664,3,3,4,1
665,0,0,4,1
666,6,6,4,1
667,0,0,4,1
668,0,0,4,1
669,4,4,4,1
670,2,2,4,1
671,4,4,4,1
672,5,5,4,1
673,2,2,4,1
674,5,5,4,1
675,6,6,4,1
676,5,5,4,1
677,6,6,4,1
678,6,6,4,1
679,2,2,4,1
680,5,5,4,1
681,6,6,4,1
682,5,3,4,1
683,4,4,4,1
684,3,3,4,1
685,5,5,4,1
686,2,2,4,1
687,3,5,4,1
688,4,4,4,1
689,2,2,4,1
690,5,5,4,1
691,4,4,4,1
692,3,6,4,1
693,3,3,4,1
694,6,6,4,1
695,3,3,4,1
696,0,0,4,1
697,5,5,4,1
698,6,6,4,1
699,2,2,4,1
700,5,5,4,1
701,2,2,4,1
702,2,2,4,1
703,4,4,4,1
704,5,5,4,1
705,2,2,4,1
706,5,3,4,1
707,0,0,4,1
708,0,0,4,1
709,6,6,4,1
710,5,5,4,1
711,3,3,4,1
712,3,3,4,1
713,5,5,4,1
714,6,6,4,1
715,5,5,4,1
716,3,6,4,1
717,6,6,4,1
718,6,6,4,1
719,2,2,4,1
720,0,0,4,1
721,6,6,4,1
722,3,3,4,1
723,3,3,4,1
724,2,2,4,1
725,5,5,4,1
726,2,2,4,1
727,2,2,4,1
728,6,6,4,1
729,6,6,4,1
730,2,2,4,1
731,6,6,4,1
732,4,4,4,1
733,4,4,4,1
734,0,0,4,1
735,3,6,4,1
736,2,2,4,1
737,0,0,4,1
738,4,4,4,1
739,6,6,4,1
740,2,0,4,1
741,6,6,4,1
742,4,4,4,1
743,6,6,4,1
744,3,5,4,1
745,6,6,4,1
746,0,0,4,1
747,3,6,4,1
748,3,3,4,1
749,6,6,4,1
750,6,6,4,1
751,6,6,4,1
752,2,2,4,1
753,6,6,4,1
754,6,6,4,1
755,3,3,4,1
756,2,2,4,1
757,4,4,4,1
758,2,2,4,1
759,5,5,4,1
760,0,3,4,1
761,3,3,4,1
762,0,3,4,1
763,4,4,4,1
764,4,4,4,1
765,3,3,4,1
766,2,2,4,1
767,2,2,4,1
768,2,2,4,1
769,2,2,4,1
770,2,2,4,1
771,4,4,4,1
772,3,3,4,1
773,6,6,4,1
774,2,2,4,1
775,4,4,4,1
776,0,3,4,1
777,0,0,4,1
778,4,4,4,1
779,5,5,4,1
780,3,3,4,1
781,4,4,4,1
782,5,5,4,1
783,0,0,4,1
784,3,3,4,1
785,3,3,4,1
786,5,5,4,1
787,0,0,4,1
788,4,4,4,1
789,2,2,4,1
790,5,5,4,1
791,5,5,4,1
792,3,3,4,1
793,5,5,4,1
794,4,4,4,1
795,0,0,4,1
796,2,2,4,1
797,4,4,4,1
798,4,4,4,1
799,3,3,4,1
800,5,5,4,1
801,3,3,4,1
802,6,6,4,1
803,2,2,4,1
804,4,4,4,1
805,4,4,4,1
806,5,5,4,1
807,6,6,4,1
808,6,6,4,1
809,3,5,4,1
810,0,0,4,1
811,3,3,4,1
812,6,6,4,1
813,5,5,4,1
814,3,0,4,1
815,3,3,4,1
816,3,3,4,1
817,6,6,4,1
818,2,2,4,1
819,3,3,4,1
820,3,6,4,1
821,4,4,4,1
822,6,6,4,1
823,3,3,4,1
824,2,2,4,1
825,0,0,4,1
826,0,0,4,1
827,0,0,4,1
828,3,5,4,1
829,6,6,4,1
830,2,2,4,1
831,5,5,4,1
832,2,2,4,1
833,3,3,4,1
834,3,3,4,1
835,2,2,4,1
836,2,2,4,1
837,3,3,4,1
838,5,5,4,1
839,4,4,4,1
840,6,6,4,1
841,2,2,4,1
842,3,3,4,1
843,2,2,4,1
844,4,5,4,1
845,5,5,4,1
846,0,0,4,1
847,2,2,4,1
848,3,3,4,1
849,4,4,4,1
850,5,5,4,1
851,5,5,4,1
852,0,0,4,1
853,4,4,4,1
854,0,0,4,1
855,6,6,4,1
856,5,3,4,1
857,3,3,4,1
858,3,3,4,1
859,4,4,4,1
860,6,6,4,1
861,5,5,4,1
862,0,0,4,1
863,0,0,4,1
864,3,3,4,1
865,3,0,4,1
866,4,4,4,1
867,6,3,4,1
868,6,6,4,1
869,2,2,4,1
870,5,5,4,1
871,4,4,4,1
872,5,5,4,1
873,3,3,4,1
874,5,3,4,1
875,6,6,4,1
876,4,4,4,1
877,5,5,4,1
878,5,5,4,1
879,6,3,4,1
880,6,6,4,1
881,6,6,4,1
882,0,2,4,1
883,5,6,4,1
884,3,3,4,1
885,0,0,4,1
886,2,2,4,1
887,0,3,4,1
888,0,0,4,1
889,3,3,4,1
890,6,6,4,1
891,6,6,4,1
892,4,4,4,1
893,0,0,4,1
894,4,4,4,1
895,5,5,4,1
896,2,2,4,1
897,4,4,4,1
898,6,6,4,1
899,6,6,4,1
900,2,2,4,1
901,2,2,4,1
902,4,4,4,1
903,5,5,4,1
904,6,6,4,1
905,2,2,4,1
906,0,0,4,1
907,4,4,4,1
908,3,3,4,1
909,3,3,4,1
910,2,2,4,1
911,3,3,4,1
912,2,2,4,1
913,4,4,4,1
914,3,3,4,1
915,4,4,4,1
916,3,5,4,1
917,0,0,4,1
918,2,2,4,1
919,2,2,4,1
920,4,4,4,1
921,5,5,4,1
922,4,4,4,1
923,4,4,4,1
924,5,5,4,1
925,0,0,4,1
926,2,2,4,1
927,4,4,4,1
928,5,5,4,1
929,0,0,4,1
930,3,3,4,1
931,4,4,4,1
932,0,0,4,1
933,5,5,4,1
934,5,5,4,1
935,6,6,4,1
936,2,2,4,1
937,0,0,4,1
938,0,0,4,1
939,4,4,4,1
940,2,2,4,1
941,0,0,4,1
942,3,3,4,1
943,3,5,4,1
944,6,6,4,1
945,6,6,4,1
946,2,2,4,1
947,0,0,4,1
948,5,5,4,1
949,3,5,4,1
950,4,4,4,1
951,6,6,4,1
952,3,3,4,1
953,6,6,4,1
954,5,5,4,1
955,0,0,4,1
956,2,2,4,1
957,4,4,4,1
958,5,5,4,1
959,0,0,4,1
960,5,5,4,1
961,5,5,4,1
962,5,5,4,1
963,6,6,4,1
964,4,4,4,1
965,6,6,4,1
966,0,0,4,1
967,5,5,4,1
968,5,5,4,1
969,4,4,4,1
970,5,5,4,1
971,4,4,4,1
972,6,6,4,1
973,2,2,4,1
974,6,6,4,1
975,6,6,4,1
976,3,3,4,1
977,0,0,4,1
978,4,4,4,1
979,0,0,4,1
980,5,5,4,1
981,5,5,4,1
982,5,5,4,1
983,4,4,4,1
984,2,2,4,1
985,0,3,4,1
986,5,5,4,1
987,5,3,4,1
988,6,6,4,1
989,0,0,4,1
990,5,5,4,1
991,6,6,4,1
992,4,4,4,1
993,0,0,4,1
994,6,6,4,1
995,4,4,4,1
996,2,0,4,1
997,5,5,4,1
998,0,0,4,1
999,3,3,4,1
1000,5,5,4,1
1001,0,0,4,1
1002,3,3,4,1
1003,3,3,4,1
1004,6,6,4,1
1005,4,4,4,1
1006,4,4,4,1
1007,3,3,4,1
1008,0,0,4,1
1009,2,2,4,1
1010,3,5,4,1
1011,0,0,4,1
1012,2,2,4,1
1013,2,2,4,1
1014,6,6,4,1
1015,4,4,4,1
1016,2,2,4,1
1017,3,3,4,1
1018,5,5,4,1
1019,4,4,4,1
1020,3,3,4,1
1021,6,6,4,1
1022,5,5,4,1
1023,2,2,4,1
1024,4,4,4,1
1025,2,2,4,1
1026,0,0,4,1
1027,6,6,4,1
1028,2,2,4,1
1029,2,2,4,1
1030,6,6,4,1
1031,3,3,4,1
1032,5,3,4,1
1033,5,4,4,1
1034,0,0,4,1
1035,6,6,4,1
1036,5,5,4,1
1037,2,2,4,1
1038,3,6,4,1
1039,4,4,4,1
1040,2,2,4,1
1041,3,3,4,1
1042,5,5,4,1
1043,0,0,4,1
1044,2,2,4,1
1045,5,3,4,1
1046,4,4,4,1
1047,4,4,4,1
1048,4,4,4,1
1049,5,5,4,1
1050,0,0,4,1
1051,6,6,4,1
1052,3,3,4,1
1053,5,5,4,1
1054,0,0,4,1
1055,6,6,4,1
1056,5,5,4,1
1057,0,3,4,1
1058,0,0,4,1
1059,3,3,4,1
1060,5,5,4,1
1061,2,2,4,1
1062,0,0,4,1
1063,3,3,4,1
1064,3,3,4,1
1065,0,0,4,1
1066,3,3,4,1
1067,6,6,4,1
1068,5,5,4,1
1069,0,0,4,1
1070,3,3,4,1
1071,2,2,4,1
1072,3,3,4,1
1073,0,0,4,1
1074,5,3,4,1
1075,0,0,4,1
1076,3,3,4,1
1077,2,2,4,1
1078,4,6,4,1
1079,4,4,4,1
1080,2,2,4,1
1081,6,6,4,1
1082,4,4,4,1
1083,0,0,4,1
1084,3,3,4,1
1085,3,3,4,1
1086,3,3,4,1
1087,4,4,4,1
1088,2,2,4,1
1089,5,5,4,1
1090,0,0,4,1
1091,2,2,4,1
1092,0,0,4,1
1093,4,3,4,1
1094,0,0,4,1
1095,2,2,4,1
1096,5,5,4,1
1097,4,4,4,1
1098,3,3,4,1
1099,6,6,4,1
1100,3,3,4,1
1101,4,4,4,1
1102,2,2,4,1
1103,6,6,4,1
1104,6,6,4,1
1105,5,5,4,1
1106,6,6,4,1
1107,2,2,4,1
1108,2,2,4,1
1109,5,5,4,1
1110,5,4,4,1
1111,0,0,4,1
1112,0,3,4,1
1113,4,4,4,1
1114,3,3,4,1
1115,5,6,4,1
